"anime_title","anime_premiere","anime_release","anime_nextair","anime_badge"
"Human Crossing","4/5/2003 12:00:00 AM","12/21/2018 6:00:00 PM","","Dubbed"
"Humanity Has Declined","7/2/2012 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"I Couldn't Become a Hero, So I Reluctantly Decided to Get a Job","10/4/2013 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"I'm Quitting Heroing","4/5/2022 12:00:00 AM","3/29/2022 1:00:00 PM","4/26/2022 2:30:00 PM","E4 In 6 Days"
"Infinite Stratos","1/7/2011 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"IRODUKU: The World in Colors","10/6/2018 12:00:00 AM","12/22/2021 2:00:00 PM","",NA
"Is It Wrong to Try to Pick Up Girls in a Dungeon?","4/4/2015 12:00:00 AM","4/4/2015 5:00:00 AM","","Dubbed"
"Is It Wrong to Try to Pick Up Girls in a Dungeon? II","7/5/2019 12:00:00 AM","7/2/2019 4:00:00 PM","","Dubbed"
"Is it Wrong to Try to Pick Up Girls in a Dungeon? III","10/2/2020 12:00:00 AM","9/23/2020 2:00:00 PM","","Dubbed"
"Is the Order a Rabbit?","4/10/2014 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Is the Order a Rabbit? - BLOOM Season 3","10/10/2020 12:00:00 AM","9/25/2020 5:00:00 PM","",NA
"Is the Order a Rabbit?? Season 2","10/10/2015 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Joshiraku","7/5/2012 12:00:00 AM","9/30/2019 5:00:00 PM","",NA
"Just Because!","10/5/2017 12:00:00 AM","10/5/2017 3:30:00 PM","","Dubbed"
"Kabukibu!","4/6/2017 12:00:00 AM","4/1/2017 12:00:00 AM","",NA
"Kaiji: Against All Rules","4/5/2011 12:00:00 AM","12/14/2020 2:00:00 PM","",NA
"Kaiji: Ultimate Survivor","10/2/2007 12:00:00 AM","11/20/2020 2:00:00 PM","",NA
"Kamisama Dolls","7/6/2011 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Kampfer","10/1/2009 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Kanamemo","7/5/2009 12:00:00 AM","7/17/2019 5:00:00 PM","",NA
